,zpid,cityid,counties,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount,zipcode,units,airconditiontype,heatsystemtype,buildingquality,pools
0,11097925,Northridge,Los Angeles,3,3,3,2473,17243,34225998,-118574082,1951,382448,91306,1,0,7,7,1
1,11098094,Northridge,Los Angeles,2,3,2,1500,8915,34224227,-118575904,1956,421772,91306,1,0,2,4,0
2,11098194,Northridge,Los Angeles,2,3,2,1375,7506,34221256,-118576336,1954,188863,91306,1,0,2,7,0
3,11098800,Northridge,Los Angeles,2,2,2,1404,274089,34223300,-118570000,1979,185655,91306,1,1,2,4,1
4,11098892,Northridge,Los Angeles,2,3,2,1560,10068,34228509,-118569226,1937,373568,91324,1,0,7,7,0
5,11099015,Northridge,Los Angeles,2,4,2,1908,7563,34227569,-118563785,1958,258077,91306,1,0,2,4,0
6,11099161,Northridge,Los Angeles,3,3,3,1879,7199,34228497,-118563172,1958,203626,91324,1,0,2,4,0
7,11099261,Northridge,Los Angeles,2,3,2,1392,7499,34229747,-118566151,1956,216355,91324,1,1,2,7,0
8,11099544,Northridge,Los Angeles,2,3,2,1795,9458,34221801,-118554050,1947,231466,91324,1,0,7,7,0
9,11099644,Northridge,Los Angeles,3,4,3,2415,46393,34222596,-118558513,1945,582461,91324,2,0,2,7,1
10,11099690,Northridge,Los Angeles,2,3,2,1742,44883,34221871,-118559854,1939,587668,91324,1,0,7,7,0
11,11099790,Northridge,Los Angeles,2,3,2,2009,8710,34227145,-118559845,1957,340786,91324,1,0,2,4,1
12,11099890,Northridge,Los Angeles,3,3,3,1644,8971,34225830,-118556167,1957,358611,91324,1,0,2,4,0
13,11100544,Northridge,Los Angeles,2,3,2,1568,7570,34224076,-118545766,1956,378962,91324,1,0,7,7,1
14,11100667,Northridge,Los Angeles,2,3,2,1221,7596,34222501,-118549688,1956,206860,91324,1,0,7,7,0
15,11100690,Northridge,Los Angeles,3,3,3,1848,5022,34221003,-118548535,1978,458990,91324,1,1,2,4,0
16,11100881,Northridge,Los Angeles,1,3,1,983,5739,34226684,-118538934,1952,108589,91324,1,0,7,7,0
17,11101103,Northridge,Los Angeles,2,3,2,1267,6469,34225282,-118542863,1961,425872,91324,1,0,2,7,1
18,11101636,Northridge,Los Angeles,2,3,2,1816,9480,34223008,-118527919,1965,532000,91325,1,1,2,4,1
19,11101941,Northridge,Los Angeles,3,3,3,1866,17398,34225054,-118525369,1950,150120,91325,1,0,7,7,0
20,11102746,Santa Clarita,Los Angeles,2,4,2,1420,6049,34434673,-118475693,1964,225846,91351,1,0,2,7,0
21,11102846,Santa Clarita,Los Angeles,2,3,2,1240,10224,34436710,-118480452,1964,339825,91351,1,0,2,7,0
22,11102946,Santa Clarita,Los Angeles,2,3,2,1287,6557,34435014,-118482984,1964,153033,91351,1,0,2,7,0
23,11103069,Santa Clarita,Los Angeles,2,4,2,1374,6010,34434171,-118476034,1962,215779,91351,1,0,2,7,0
