,area_id,area_type,year,Aggravated assault,All Crimes,Burglary,Larceny,Motor vehicle theft,Murder and nonnegligent manslaughter,Property crime,Rape (revised definition),Robbery,Violent crime,City,State
219,1600000US0270760,region.place,2014,0.0,36.0,2.0,16.0,0.0,0,18.0,0.0,0.0,0.0,Skagway,AK
409,1600000US0102956,region.place,2014,0.0,1514.0,82.0,663.0,6.0,0,751.0,2.0,4.0,6.0,Athens,AL
785,1600000US0131912,region.place,2013,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,Greenville,AL
936,1600000US0114464,region.place,2013,0.0,210.0,42.0,59.0,3.0,0,104.0,0.0,1.0,1.0,Childersburg,AL
1223,1600000US0113672,region.place,2013,0.0,72.0,9.0,25.0,2.0,0,36.0,0.0,0.0,0.0,Centreville,AL
1292,1600000US0118856,region.place,2013,0.0,50.0,5.0,17.0,3.0,0,25.0,0.0,0.0,0.0,Crossville,AL
1517,1600000US0174400,region.place,2014,0.0,42.0,1.0,18.0,2.0,0,21.0,0.0,0.0,0.0,Sylvania,AL
1536,1600000US0151456,region.place,2014,0.0,66.0,6.0,23.0,4.0,0,33.0,0.0,0.0,0.0,Morris,AL
1572,1600000US0168280,region.place,2013,0.0,82.0,12.0,25.0,4.0,0,41.0,0.0,0.0,0.0,Sardis City,AL
1573,1600000US0168280,region.place,2014,0.0,86.0,5.0,30.0,8.0,0,43.0,0.0,0.0,0.0,Sardis City,AL
1617,1600000US0153856,region.place,2014,0.0,68.0,9.0,23.0,1.0,0,33.0,1.0,0.0,1.0,New Brockton,AL
1780,1600000US0156472,region.place,2014,0.0,46.0,12.0,11.0,0.0,0,23.0,0.0,0.0,0.0,Ohatchee,AL
1853,1600000US0100484,region.place,2013,0.0,52.0,6.0,17.0,2.0,0,25.0,1.0,0.0,1.0,Addison,AL
1914,1600000US0172888,region.place,2014,0.0,14.0,1.0,4.0,1.0,0,6.0,0.0,1.0,1.0,Steele,AL
2001,1600000US0170536,region.place,2013,0.0,82.0,7.0,32.0,2.0,0,41.0,0.0,0.0,0.0,Silverhill,AL
2352,1600000US0509460,region.place,2013,0.0,1834.0,204.0,668.0,33.0,0,905.0,5.0,7.0,12.0,Bryant,AR
2652,1600000US0528510,region.place,2013,0.0,16.0,2.0,5.0,1.0,0,8.0,0.0,0.0,0.0,Greenbrier,AR
2865,1600000US0502590,region.place,2014,0.0,194.0,20.0,67.0,8.0,0,95.0,2.0,0.0,2.0,Atkins,AR
3032,1600000US0526050,region.place,2014,0.0,104.0,8.0,43.0,0.0,0,51.0,1.0,0.0,1.0,Gassville,AR
3099,1600000US0570100,region.place,2014,0.0,14.0,2.0,5.0,0.0,0,7.0,0.0,0.0,0.0,Tuckerman,AR
3147,1600000US0504180,region.place,2013,0.0,68.0,15.0,18.0,0.0,0,33.0,1.0,0.0,1.0,Bay,AR
3148,1600000US0504180,region.place,2014,0.0,46.0,8.0,14.0,1.0,0,23.0,0.0,0.0,0.0,Bay,AR
3153,1600000US0542500,region.place,2013,0.0,64.0,5.0,27.0,0.0,0,32.0,0.0,0.0,0.0,McCrory,AR
3154,1600000US0542500,region.place,2014,0.0,76.0,13.0,25.0,0.0,0,38.0,0.0,0.0,0.0,McCrory,AR
3166,1600000US0518550,region.place,2013,0.0,24.0,4.0,7.0,1.0,0,12.0,0.0,0.0,0.0,Des Arc,AR
3221,1600000US0548290,region.place,2013,0.0,16.0,0.0,8.0,0.0,0,8.0,0.0,0.0,0.0,Murfreesboro,AR
3223,1600000US0538290,region.place,2013,0.0,80.0,13.0,23.0,1.0,0,37.0,3.0,0.0,3.0,Lamar,AR
3271,1600000US0559480,region.place,2014,0.0,54.0,14.0,11.0,1.0,0,26.0,1.0,0.0,1.0,Rison,AR
3291,1600000US0554710,region.place,2014,0.0,62.0,1.0,28.0,2.0,0,31.0,0.0,0.0,0.0,Perryville,AR
3309,1600000US0558580,region.place,2013,0.0,44.0,6.0,15.0,0.0,0,21.0,1.0,0.0,1.0,Redfield,AR
3327,1600000US0511410,region.place,2014,0.0,4.0,1.0,1.0,0.0,0,2.0,0.0,0.0,0.0,Caraway,AR
3330,1600000US0502470,region.place,2013,0.0,40.0,4.0,14.0,1.0,1,19.0,0.0,0.0,1.0,Ash Flat,AR
3364,1600000US0532257,region.place,2014,0.0,12.0,1.0,5.0,0.0,0,6.0,0.0,0.0,0.0,Highland,AR
3384,1600000US0542170,region.place,2014,0.0,12.0,2.0,4.0,0.0,0,6.0,0.0,0.0,0.0,Luxora,AR
3395,1600000US0510780,region.place,2013,0.0,36.0,7.0,11.0,0.0,0,18.0,0.0,0.0,0.0,Cammack Village,AR
3396,1600000US0510780,region.place,2014,0.0,28.0,6.0,8.0,0.0,0,14.0,0.0,0.0,0.0,Cammack Village,AR
