,area_id,area_type,year,Aggravated assault,All Crimes,Burglary,Larceny,Motor vehicle theft,Murder and nonnegligent manslaughter,Property crime,Rape (revised definition),Robbery,Violent crime,City,State
7,1600000US0203000,region.place,2013,497.9045265565778,9686.931258452856,440.1329081164115,3287.6392112337417,290.193852164766,4.675159873770683,4017.9659715149187,136.24751632131705,174.31667529344978,813.1438780451152,Anchorage,AK
8,1600000US0203000,region.place,2014,565.8699129788321,9410.034981049166,456.34670401518724,3059.0164152058037,311.6433127783715,3.982662144132543,3827.0064319993626,130.10029670832978,164.61670195747845,864.5695737887727,Anchorage,AK
16,1600000US0236400,region.place,2013,306.56225338432586,7296.788684514054,306.56225338432586,2810.6598676622352,109.2697140775815,0.0,3226.491835124143,54.63485703879075,45.52904753232563,406.72615795544226,Juneau,AK
17,1600000US0236400,region.place,2014,427.42815569297926,6478.113253304234,312.23475203104164,2243.23996604826,87.91075542621559,3.031405359524676,2643.385473505517,69.72232326906753,72.7537286285922,572.9356129501638,Juneau,AK
25,1600000US0224230,region.place,2013,436.8558683279495,9130.902938009538,356.86817412705733,3230.2722658052608,316.87432702661135,0.0,3904.0147669589287,104.59929241655131,113.82864174742348,655.2838024919242,Fairbanks,AK
26,1600000US0224230,region.place,2014,366.41315392431574,9000.215537149366,477.2608307417557,2983.6499676694275,378.7295624595868,12.316408535271115,3839.6403608707697,120.08498321889337,160.1133109585245,658.9278566370048,Fairbanks,AK
34,1600000US0270540,region.place,2013,76.98229407236335,4717.914879577697,230.94688221709012,1913.5598812273174,131.9696469811943,0.0,2276.476410425602,0.0,0.0,76.98229407236335,Sitka,AK
35,1600000US0270540,region.place,2014,66.29101756711965,5413.766434648105,408.79460833057124,2154.4580709313886,77.33952049497293,0.0,2640.592199756933,0.0,0.0,66.29101756711965,Sitka,AK
42,1600000US0283080,region.place,2013,358.58877964141124,15488.721804511282,740.3123192596878,6015.037593984962,497.3973395026026,11.56737998843262,7252.747252747254,46.26951995373048,69.40427993059572,485.82995951417007,Wasilla,AK
43,1600000US0283080,region.place,2014,522.3117974338594,14636.084932440104,499.6025888497786,5802.202793232656,431.47496309753603,11.354604292040422,6733.280345179971,22.709208584080844,22.709208584080844,579.0848188940615,Wasilla,AK
51,1600000US0238970,region.place,2013,325.10535821794105,7465.382299819386,192.6550270921132,3082.480433473811,72.24563515954246,0.0,3347.3810957254664,48.1637567730283,12.040939193257074,385.3100541842264,Ketchikan,AK
52,1600000US0238970,region.place,2014,206.1605626970652,7773.465922871695,266.7960223138491,3116.662624302692,133.39801115692458,0.0,3516.856657773465,97.01673538685422,48.50836769342711,351.68566577734657,Ketchikan,AK
60,1600000US0238420,region.place,2013,309.8895176502291,8919.42872541094,633.2524925895984,3179.735920237133,242.5222312045271,0.0,4055.5106440312575,80.84074373484236,13.473457289140393,404.2037186742118,Kenai,AK
61,1600000US0238420,region.place,2014,278.7733970529669,10832.337714058145,398.24771007566704,4274.5254214788265,225.6737023762113,0.0,4898.446833930705,238.94862604540023,0.0,517.7220230983671,Kenai,AK
69,1600000US0240950,region.place,2013,1249.2382693479585,11517.367458866544,548.4460694698355,3580.1340645947594,289.4576477757465,0.0,4418.037781840341,15.234613040828764,60.938452163315056,1325.4113345521025,Kodiak,AK
70,1600000US0240950,region.place,2014,554.2725173210162,9622.78675904542,215.55042340261738,3602.7713625866054,338.7220939183988,0.0,4157.043879907621,61.58583525789069,30.792917628945347,646.6512702078522,Kodiak,AK
78,1600000US0206520,region.place,2013,680.798390840167,6606.838929289804,402.2899582237352,1206.8698746712053,696.27108154108,0.0,2305.4309144360204,154.72690700912892,30.94538140182577,866.4706792511219,Bethel,AK
79,1600000US0206520,region.place,2014,513.1394806406469,6453.117711086923,575.3382055667859,1197.325454828176,575.3382055667859,0.0,2348.001865961748,342.09298709376463,15.549681231534755,870.7821489659462,Bethel,AK
87,1600000US0258660,region.place,2013,201.4566868123353,5702.773903610722,201.4566868123353,2247.016891368356,77.48334108166745,0.0,2525.9569192623585,108.47667751433443,0.0,309.9333643266698,Palmer,AK
88,1600000US0258660,region.place,2014,60.76257025672186,5407.868752848245,334.19413641197025,1974.7835333434605,212.6689958985265,0.0,2521.646665653957,106.33449794926322,15.190642564180465,182.2877107701656,Palmer,AK
96,1600000US0233140,region.place,2013,1167.8282162365795,11339.235260877756,282.53908457336604,4012.055000941797,188.35938971557727,0.0,4482.95347523074,0.0,18.835938971557734,1186.6641552081371,Homer,AK
97,1600000US0233140,region.place,2014,595.0167348456675,10152.473038304202,334.696913350688,3997.768687244329,148.75418371141689,0.0,4481.219784306434,0.0,0.0,595.0167348456675,Homer,AK
105,1600000US0280770,region.place,2013,299.5391705069125,4124.42396313364,69.12442396313364,1520.73732718894,115.2073732718894,0.0,1705.069124423963,46.08294930875576,0.0,345.62211981566816,Unalaska,AK
106,1600000US0280770,region.place,2014,162.48839368616527,2553.38904363974,23.212627669452186,835.6545961002786,185.70102135561746,23.212627669452186,1044.5682451253483,23.212627669452186,23.212627669452186,232.12627669452183,Unalaska,AK
