,area_id,area_type,year,female_full_time_median_earnings,female_median_earnings,male_full_time_median_earnings,male_median_earnings,median_earnings,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,median_earnings_high_school,median_earnings_less_than_high_school,median_earnings_some_college_or_associates,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_1_to_9999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000,City,State
2,1600000US0224230,region.place,2013,40905.0,26021.0,44704.0,32442.0,30540.0,52153.0,60682.0,32525.0,27150.0,41066.0,2.4,16.8,1.6,19.3,19.9,16.5,7.0,10.7,5.8,Fairbanks,AK
4,1600000US0240645,region.place,2013,44543.0,27866.0,69483.0,53607.0,42463.0,65625.0,69740.0,44208.0,36364.0,47100.0,2.5,8.0,2.1,9.3,18.9,17.3,10.7,18.8,12.4,Knik-Fairview,AK
5,1600000US0216750,region.place,2013,39173.0,21768.0,61667.0,35159.0,27936.0,34803.0,51960.0,34375.0,20851.0,36313.0,1.5,8.4,0.5,20.1,19.5,14.4,8.5,16.1,11.0,College,AK
6,1600000US0275077,region.place,2013,42608.0,30913.0,62321.0,52821.0,39889.0,44219.0,77000.0,43587.0,28250.0,42316.0,1.9,4.7,0.3,13.2,26.0,18.4,6.5,14.5,14.5,Tanaina,AK
7,1600000US0242832,region.place,2013,44719.0,33594.0,61910.0,52512.0,43254.0,63796.0,63333.0,38378.0,22885.0,43227.0,2.8,5.6,1.2,11.6,19.9,22.3,4.5,16.0,16.1,Lakes,AK
13,1600000US0247735,region.place,2013,37383.0,17005.0,52097.0,41658.0,30054.0,40920.0,76786.0,37250.0,15393.0,53389.0,8.8,13.1,1.4,14.5,15.8,15.4,8.7,10.7,11.6,Meadow Lakes,AK
17,1600000US0206520,region.place,2013,49773.0,36991.0,70625.0,41734.0,38402.0,78071.0,77845.0,29467.0,11930.0,56827.0,1.7,9.1,0.8,12.7,20.6,14.5,4.3,23.4,12.9,Bethel,AK
21,1600000US0233140,region.place,2013,36953.0,22621.0,51429.0,39598.0,30914.0,40192.0,56250.0,32610.0,31964.0,33209.0,6.3,10.8,1.4,21.4,14.0,16.1,9.0,10.8,10.2,Homer,AK
23,1600000US0254050,region.place,2013,36321.0,19157.0,63571.0,55132.0,34341.0,55781.0,83816.0,52589.0,27868.0,31475.0,2.4,6.8,7.2,12.2,18.1,19.1,4.6,13.0,16.6,Nikiski,AK
26,1600000US0271640,region.place,2013,37000.0,22917.0,60521.0,37892.0,28761.0,48512.0,65625.0,29063.0,21307.0,33516.0,5.0,15.4,0.4,16.4,15.9,17.9,11.5,8.2,9.3,Soldotna,AK
27,1600000US0207070,region.place,2013,33333.0,22647.0,53750.0,36563.0,28042.0,59000.0,51875.0,40761.0,17750.0,27315.0,1.2,10.8,4.8,18.1,15.1,19.0,6.6,16.5,7.9,Big Lake,AK
28,1600000US0282200,region.place,2013,40069.0,28902.0,64342.0,48581.0,36691.0,32500.0,82750.0,49722.0,13113.0,43590.0,4.2,2.1,0.7,19.1,26.8,9.4,7.7,14.8,15.2,Valdez,AK
34,1600000US0260310,region.place,2013,32292.0,24375.0,58387.0,38625.0,29083.0,44167.0,53125.0,38704.0,21346.0,27829.0,3.4,15.7,2.8,16.1,13.7,20.2,6.0,16.6,5.5,Petersburg,AK
39,1600000US0286380,region.place,2013,31413.0,26772.0,46364.0,32219.0,29044.0,31167.0,95375.0,30769.0,43333.0,31020.0,9.2,10.8,0.8,24.0,24.3,8.9,2.7,11.7,7.6,Wrangell,AK
41,1600000US0265345,region.place,2013,40833.0,31528.0,64792.0,49696.0,44423.0,40500.0,50938.0,53125.0,16111.0,52266.0,2.0,11.4,1.6,12.1,24.0,11.5,3.0,13.8,20.6,Ridgeway,AK
50,1600000US0227090,region.place,2013,35000.0,27237.0,50682.0,38264.0,31530.0,38824.0,55313.0,25764.0,43750.0,32000.0,2.2,9.4,2.6,19.0,29.3,15.9,8.3,7.2,6.1,Fritz Creek,AK
63,1600000US0232150,region.place,2013,43650.0,22667.0,85429.0,80750.0,42903.0,43681.0,80208.0,76429.0,4699.0,50250.0,1.9,1.7,5.7,7.2,19.1,7.6,8.8,23.9,24.1,Healy,AK
119,1600000US0226760,region.place,2013,42708.0,32917.0,66563.0,21833.0,28594.0,61667.0,84583.0,21477.0,21094.0,31719.0,6.6,16.0,1.9,13.2,17.0,18.9,9.4,3.8,13.2,Fort Yukon,AK
362,1600000US0135896,region.place,2013,46345.0,32181.0,66055.0,48991.0,38863.0,52272.0,65181.0,27111.0,19357.0,36408.0,2.7,10.0,1.2,12.9,18.6,14.0,5.3,13.6,21.7,Hoover,AL
372,1600000US0100820,region.place,2013,42188.0,26523.0,55368.0,45527.0,33691.0,54199.0,56308.0,25570.0,18306.0,39279.0,3.2,15.5,0.5,14.3,18.3,16.4,7.9,13.9,10.0,Alabaster,AL
382,1600000US0158848,region.place,2013,42310.0,35034.0,56250.0,42718.0,36953.0,51385.0,57318.0,32035.0,22768.0,43658.0,3.3,11.1,1.6,14.0,20.9,17.0,7.7,12.1,12.3,Pelham,AL
387,1600000US0176944,region.place,2013,46631.0,37839.0,66229.0,56991.0,45711.0,60483.0,65262.0,36629.0,36042.0,42443.0,1.1,6.6,2.9,8.7,21.6,17.5,10.9,11.0,19.7,Trussville,AL
392,1600000US0125240,region.place,2013,41196.0,26813.0,59479.0,50270.0,35876.0,53409.0,52444.0,24167.0,25335.0,34129.0,2.9,11.0,0.8,13.3,21.4,16.9,5.0,11.7,17.0,Fairhope,AL
397,1600000US0101132,region.place,2013,29464.0,23317.0,29758.0,24431.0,23809.0,40268.0,51563.0,22868.0,22548.0,30193.0,8.8,27.8,2.9,21.1,14.3,11.8,4.9,7.1,1.3,Alexander City,AL
398,1600000US0118976,region.place,2013,35625.0,23347.0,41771.0,30331.0,26329.0,44984.0,53520.0,22076.0,17897.0,31543.0,5.3,15.5,2.5,20.4,23.0,13.6,4.9,7.0,7.8,Cullman,AL
399,1600000US0168736,region.place,2013,27324.0,20681.0,37368.0,31116.0,25941.0,57717.0,54292.0,23273.0,19375.0,27887.0,4.0,24.3,2.1,23.3,18.4,13.4,2.9,5.5,6.1,Scottsboro,AL
400,1600000US0148712,region.place,2013,34702.0,26600.0,52521.0,43017.0,32689.0,53068.0,51750.0,30881.0,20526.0,39898.0,3.3,14.3,1.3,16.8,24.5,19.5,6.3,8.8,5.2,Millbrook,AL
402,1600000US0138416,region.place,2013,34508.0,20239.0,52903.0,32004.0,25736.0,43806.0,64018.0,30282.0,17818.0,27395.0,6.1,15.3,2.1,14.8,19.1,15.9,10.1,6.7,9.9,Jasper,AL
403,1600000US0127616,region.place,2013,22109.0,18427.0,32483.0,27037.0,21949.0,41736.0,55833.0,23609.0,19028.0,26897.0,8.3,29.9,1.5,23.2,16.0,10.4,1.5,5.6,3.6,Fort Payne,AL
405,1600000US0168160,region.place,2013,35847.0,25091.0,44972.0,38761.0,31163.0,52215.0,51949.0,27853.0,20272.0,33949.0,1.3,18.8,3.0,16.4,21.3,18.2,7.6,5.9,7.5,Saraland,AL
407,1600000US0124568,region.place,2013,26564.0,18955.0,39888.0,27462.0,22518.0,42364.0,49470.0,20521.0,23106.0,23091.0,5.5,25.0,2.1,22.6,18.8,11.5,4.5,5.5,4.5,Eufaula,AL
417,1600000US0114104,region.place,2013,44129.0,31077.0,64360.0,54912.0,43131.0,55899.0,68510.0,25221.0,26307.0,42684.0,3.3,9.6,0.5,13.6,15.3,19.2,10.4,13.5,14.6,Chelsea,AL
418,1600000US0167608,region.place,2013,31782.0,19989.0,49491.0,31505.0,25107.0,44063.0,57426.0,26702.0,17295.0,30720.0,2.4,20.3,3.6,16.4,18.3,22.9,6.1,5.2,4.8,Saks,AL
419,1600000US0132272,region.place,2013,31809.0,16663.0,37418.0,24040.0,20607.0,30574.0,56250.0,20338.0,9280.0,23813.0,6.3,20.1,2.6,16.5,24.5,13.2,3.2,4.5,9.1,Gulf Shores,AL
420,1600000US0161008,region.place,2013,46160.0,38231.0,45658.0,39730.0,38903.0,49485.0,57284.0,31382.0,14821.0,42972.0,1.8,10.2,4.4,13.2,29.3,20.0,8.3,8.5,4.3,Pleasant Grove,AL
422,1600000US0167056,region.place,2013,25078.0,19707.0,27038.0,22820.0,21586.0,36058.0,54338.0,26165.0,18041.0,23215.0,12.7,30.6,1.5,21.5,13.0,8.4,4.1,4.8,3.4,Russellville,AL
426,1600000US0177304,region.place,2013,26604.0,9959.0,34688.0,15539.0,11954.0,40893.0,26541.0,23021.0,18600.0,23841.0,7.0,21.3,7.2,22.5,23.5,9.2,4.0,2.7,2.6,Tuskegee,AL
427,1600000US0178204,region.place,2013,31108.0,28149.0,38103.0,30810.0,29395.0,45299.0,61250.0,23690.0,31513.0,30172.0,6.4,14.7,2.6,28.0,25.4,7.4,9.0,3.7,2.8,Valley,AL
432,1600000US0177280,region.place,2013,35869.0,18691.0,44484.0,33598.0,25684.0,47057.0,44028.0,25399.0,19735.0,26620.0,5.0,19.6,1.6,15.8,20.9,20.0,5.6,7.7,3.8,Tuscumbia,AL
447,1600000US0141296,region.place,2013,27098.0,19477.0,37961.0,22267.0,20836.0,46838.0,56250.0,20047.0,15263.0,26731.0,11.7,18.5,6.5,22.1,20.3,11.8,3.0,1.0,5.1,Lanett,AL
449,1600000US0150192,region.place,2013,22859.0,15132.0,43880.0,37866.0,21677.0,45833.0,53125.0,29722.0,16434.0,24426.0,6.1,24.1,6.6,15.0,26.1,5.8,5.3,4.8,6.2,Monroeville,AL
451,1600000US0143120,region.place,2013,27216.0,20142.0,48264.0,45284.0,31077.0,58242.0,75114.0,31453.0,21250.0,32352.0,6.3,17.2,4.2,14.3,23.5,12.0,5.0,9.5,8.0,Lincoln,AL
458,1600000US0175768,region.place,2013,29901.0,22378.0,37170.0,31996.0,27335.0,50335.0,41528.0,30659.0,29375.0,25169.0,5.2,21.5,1.6,23.4,22.4,17.2,1.1,5.9,1.7,Theodore,AL
466,1600000US0133472,region.place,2013,38176.0,27850.0,49122.0,38594.0,35652.0,41723.0,82708.0,27095.0,14700.0,41338.0,5.5,17.3,0.5,8.4,26.4,13.3,3.8,9.0,15.8,Harvest,AL
469,1600000US0129992,region.place,2013,32938.0,21117.0,53922.0,26940.0,22238.0,71583.0,21765.0,21479.0,21989.0,28348.0,5.5,17.5,2.1,20.3,10.5,19.7,6.6,11.8,6.0,Glencoe,AL
473,1600000US0174688,region.place,2013,30930.0,16801.0,39917.0,33849.0,26566.0,39167.0,42537.0,30075.0,30397.0,25758.0,12.4,12.9,2.8,26.6,27.2,11.4,0.8,2.1,3.8,Tallassee,AL
477,1600000US0133856,region.place,2013,31386.0,25650.0,48194.0,38851.0,30929.0,45365.0,48261.0,30525.0,4554.0,30730.0,5.4,12.9,1.2,16.2,35.3,8.9,7.3,2.2,10.6,Headland,AL
479,1600000US0100460,region.place,2013,31756.0,21761.0,43882.0,33228.0,29297.0,45850.0,33750.0,32173.0,14250.0,35772.0,7.8,17.8,0.6,18.6,24.7,20.2,3.9,5.8,0.6,Adamsville,AL
481,1600000US0152344,region.place,2013,42516.0,31994.0,54250.0,43966.0,40248.0,44761.0,70337.0,36865.0,17232.0,43708.0,4.0,11.7,0.4,9.4,28.5,19.6,10.4,9.3,6.7,Mount Olive,AL
