,area_id,area_name,area_type,year,per_capita_gdp,per_capita_gdp_percent_change
0,310M200US11260,Anchorage Metro Area (AK),region.msa,2001,60944,0.0
1,310M200US11260,Anchorage Metro Area (AK),region.msa,2002,61991,1.7180000000000002
2,310M200US11260,Anchorage Metro Area (AK),region.msa,2003,60795,-1.929
3,310M200US11260,Anchorage Metro Area (AK),region.msa,2004,62375,2.5989999999999998
4,310M200US11260,Anchorage Metro Area (AK),region.msa,2005,63545,1.876
5,310M200US11260,Anchorage Metro Area (AK),region.msa,2006,64537,1.561
6,310M200US11260,Anchorage Metro Area (AK),region.msa,2007,66439,2.947
7,310M200US11260,Anchorage Metro Area (AK),region.msa,2008,66097,-0.515
8,310M200US11260,Anchorage Metro Area (AK),region.msa,2009,71473,8.134
9,310M200US11260,Anchorage Metro Area (AK),region.msa,2010,68842,-3.681
10,310M200US11260,Anchorage Metro Area (AK),region.msa,2011,69496,0.95
11,310M200US11260,Anchorage Metro Area (AK),region.msa,2012,72334,4.084
12,310M200US11260,Anchorage Metro Area (AK),region.msa,2013,69387,-4.074
13,310M200US21820,Fairbanks Metro Area (AK),region.msa,2001,51220,0.0
14,310M200US21820,Fairbanks Metro Area (AK),region.msa,2002,51321,0.19699999999999998
15,310M200US21820,Fairbanks Metro Area (AK),region.msa,2003,53912,5.0489999999999995
16,310M200US21820,Fairbanks Metro Area (AK),region.msa,2004,54346,0.805
17,310M200US21820,Fairbanks Metro Area (AK),region.msa,2005,54572,0.41600000000000004
18,310M200US21820,Fairbanks Metro Area (AK),region.msa,2006,57657,5.653
19,310M200US21820,Fairbanks Metro Area (AK),region.msa,2007,56964,-1.202
20,310M200US21820,Fairbanks Metro Area (AK),region.msa,2008,57379,0.7290000000000001
21,310M200US21820,Fairbanks Metro Area (AK),region.msa,2009,53356,-7.011
22,310M200US21820,Fairbanks Metro Area (AK),region.msa,2010,51426,-3.617
23,310M200US21820,Fairbanks Metro Area (AK),region.msa,2011,52322,1.742
24,310M200US21820,Fairbanks Metro Area (AK),region.msa,2012,51837,-0.927
25,310M200US21820,Fairbanks Metro Area (AK),region.msa,2013,50052,-3.443
26,310M200US13820,Birmingham Metro Area (AL),region.msa,2001,48044,0.0
27,310M200US13820,Birmingham Metro Area (AL),region.msa,2002,49300,2.614
28,310M200US13820,Birmingham Metro Area (AL),region.msa,2003,48831,-0.951
29,310M200US13820,Birmingham Metro Area (AL),region.msa,2004,50335,3.08
30,310M200US13820,Birmingham Metro Area (AL),region.msa,2005,50795,0.914
31,310M200US13820,Birmingham Metro Area (AL),region.msa,2006,49910,-1.742
32,310M200US13820,Birmingham Metro Area (AL),region.msa,2007,49750,-0.321
33,310M200US13820,Birmingham Metro Area (AL),region.msa,2008,49220,-1.065
34,310M200US13820,Birmingham Metro Area (AL),region.msa,2009,45570,-7.416
35,310M200US13820,Birmingham Metro Area (AL),region.msa,2010,46108,1.181
36,310M200US13820,Birmingham Metro Area (AL),region.msa,2011,47568,3.1660000000000004
37,310M200US13820,Birmingham Metro Area (AL),region.msa,2012,49579,4.228
38,310M200US13820,Birmingham Metro Area (AL),region.msa,2013,49034,-1.099
39,310M200US26620,Huntsville Metro Area (AL),region.msa,2001,40468,0.0
40,310M200US26620,Huntsville Metro Area (AL),region.msa,2002,43149,6.625
41,310M200US26620,Huntsville Metro Area (AL),region.msa,2003,46183,7.031000000000001
42,310M200US26620,Huntsville Metro Area (AL),region.msa,2004,48606,5.247000000000001
43,310M200US26620,Huntsville Metro Area (AL),region.msa,2005,49940,2.745
44,310M200US26620,Huntsville Metro Area (AL),region.msa,2006,50473,1.067
45,310M200US26620,Huntsville Metro Area (AL),region.msa,2007,49901,-1.133
46,310M200US26620,Huntsville Metro Area (AL),region.msa,2008,49569,-0.665
47,310M200US26620,Huntsville Metro Area (AL),region.msa,2009,49043,-1.061
48,310M200US26620,Huntsville Metro Area (AL),region.msa,2010,50424,2.8160000000000003
49,310M200US26620,Huntsville Metro Area (AL),region.msa,2011,50185,-0.474
50,310M200US26620,Huntsville Metro Area (AL),region.msa,2012,49935,-0.498
51,310M200US26620,Huntsville Metro Area (AL),region.msa,2013,49675,-0.521
52,310M200US33660,Mobile Metro Area (AL),region.msa,2001,33919,0.0
53,310M200US33660,Mobile Metro Area (AL),region.msa,2002,34018,0.292
54,310M200US33660,Mobile Metro Area (AL),region.msa,2003,34806,2.316
55,310M200US33660,Mobile Metro Area (AL),region.msa,2004,36315,4.335
56,310M200US33660,Mobile Metro Area (AL),region.msa,2005,37371,2.908
57,310M200US33660,Mobile Metro Area (AL),region.msa,2006,39170,4.814
58,310M200US33660,Mobile Metro Area (AL),region.msa,2007,39456,0.73
59,310M200US33660,Mobile Metro Area (AL),region.msa,2008,39155,-0.763
