,zpid,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount,cityid,countryid,zipcpde,units,airconditiontype,heatsystemtype,buildingquality,pools
0,11097925,3,3,3,2473,17243,34225998,-118574082,1951,382448,12447,3101,96341,1,0,7,7,1
1,11098094,2,3,2,1500,8915,34224227,-118575904,1956,421772,12447,3101,96341,1,0,2,4,0
2,11098194,2,3,2,1375,7506,34221256,-118576336,1954,188863,12447,3101,96341,1,0,2,7,0
3,11098800,2,2,2,1404,274089,34223300,-118570000,1979,185655,12447,3101,96341,1,1,2,4,1
4,11098892,2,3,2,1560,10068,34228509,-118569226,1937,373568,12447,3101,96354,1,0,7,7,0
5,11099015,2,4,2,1908,7563,34227569,-118563785,1958,258077,12447,3101,96341,1,0,2,4,0
6,11099161,3,3,3,1879,7199,34228497,-118563172,1958,203626,12447,3101,96354,1,0,2,4,0
7,11099261,2,3,2,1392,7499,34229747,-118566151,1956,216355,12447,3101,96354,1,1,2,7,0
8,11099544,2,3,2,1795,9458,34221801,-118554050,1947,231466,12447,3101,96354,1,0,7,7,0
9,11099644,3,4,3,2415,46393,34222596,-118558513,1945,582461,12447,3101,96354,2,0,2,7,1
10,11099690,2,3,2,1742,44883,34221871,-118559854,1939,587668,12447,3101,96354,1,0,7,7,0
11,11099790,2,3,2,2009,8710,34227145,-118559845,1957,340786,12447,3101,96354,1,0,2,4,1
12,11099890,3,3,3,1644,8971,34225830,-118556167,1957,358611,12447,3101,96354,1,0,2,4,0
13,11100544,2,3,2,1568,7570,34224076,-118545766,1956,378962,12447,3101,96354,1,0,7,7,1
14,11100667,2,3,2,1221,7596,34222501,-118549688,1956,206860,12447,3101,96354,1,0,7,7,0
15,11100690,3,3,3,1848,5022,34221003,-118548535,1978,458990,12447,3101,96354,1,1,2,4,0
16,11100881,1,3,1,983,5739,34226684,-118538934,1952,108589,12447,3101,96354,1,0,7,7,0
17,11101103,2,3,2,1267,6469,34225282,-118542863,1961,425872,12447,3101,96354,1,0,2,7,1
18,11101636,2,3,2,1816,9480,34223008,-118527919,1965,532000,12447,3101,96355,1,1,2,4,1
19,11101941,3,3,3,1866,17398,34225054,-118525369,1950,150120,12447,3101,96355,1,0,7,7,0
20,11102746,2,4,2,1420,6049,34434673,-118475693,1964,225846,54311,3101,96374,1,0,2,7,0
21,11102846,2,3,2,1240,10224,34436710,-118480452,1964,339825,54311,3101,96374,1,0,2,7,0
22,11102946,2,3,2,1287,6557,34435014,-118482984,1964,153033,54311,3101,96374,1,0,2,7,0
23,11103069,2,4,2,1374,6010,34434171,-118476034,1962,215779,54311,3101,96374,1,0,2,7,0
24,11103092,2,3,2,1238,6209,34433597,-118478751,1963,364000,54311,3101,96374,1,0,2,7,0
25,11103192,3,4,3,2166,6424,34434583,-118490995,1988,359364,54311,3101,96374,1,1,2,4,1
26,11104095,2,4,2,1628,8650,34430655,-118465172,1967,282088,54311,3101,96374,1,0,2,7,1
27,11104195,2,4,2,1628,7220,34433466,-118465694,1968,292626,54311,3101,96374,1,1,2,7,1
28,11104364,2,3,2,1270,4656,34434433,-118472733,1984,292627,54311,3101,96374,1,1,2,4,0
29,11104553,2,4,2,1144,6502,34423165,-118473597,1961,187851,54311,3101,96374,1,0,2,7,0
30,11104968,2,4,2,1144,5776,34418194,-118468583,1961,259293,54311,3101,96374,1,0,2,7,0
31,11105214,2,4,2,1269,7087,34423729,-118461752,1963,191812,54311,3101,96374,1,0,2,7,1
32,11105591,2,2,2,795,312806,34421000,-118455000,1987,144990,54311,3101,96374,1,1,2,4,1
33,11106019,2,2,2,1114,843582,34413600,-118467000,1981,225000,54311,3101,96374,1,1,2,7,0
34,11106165,3,3,3,2526,37887,34419750,-118459526,1988,338016,54311,3101,96374,1,1,2,4,0
35,11106530,1,1,1,635,188585,34413300,-118463000,1984,100418,54311,3101,96374,1,1,2,7,1
36,11107231,2,4,2,1694,7050,34427930,-118476892,1965,365167,54311,3101,96374,1,0,2,7,0
37,11107500,2,5,2,1809,6102,34424057,-118476109,1965,265126,54311,3101,96374,1,0,2,7,0
38,11107569,3,4,3,1889,7537,34423179,-118479347,1966,274942,54311,3101,96374,1,1,2,7,0
39,11107592,2,4,2,1642,5980,34423157,-118475129,1966,238205,54311,3101,96374,1,0,2,7,0
40,11107715,2,3,2,1300,6663,34420822,-118476453,1966,226723,54311,3101,96374,1,1,2,7,0
41,11107838,2,3,2,1430,7121,34456132,-118531347,1988,330008,54311,3101,96373,1,1,2,4,1
42,11107961,2,3,2,1787,7655,34452658,-118532888,1959,254704,54311,3101,96373,1,1,2,7,0
43,11108061,3,4,3,1718,6182,34452307,-118525166,1988,469000,54311,3101,96373,1,1,2,4,0
44,11108184,2,3,2,1230,6777,34447119,-118533117,1957,275180,54311,3101,96373,1,0,2,7,1
45,11108384,1,2,1,842,13898,34440630,-118532605,1950,84559,54311,3101,96373,1,0,7,7,0
46,11108430,2,4,2,1260,12044,34440546,-118526099,1973,283218,54311,3101,96373,1,1,2,7,1
47,11108722,2,4,2,1654,15904,34446177,-118529446,1980,334944,54311,3101,96373,1,1,2,7,0
48,11108968,3,3,3,1672,8457,34444774,-118519607,1989,391909,54311,3101,96373,1,1,2,4,0
