zpid,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,yearbuilt,latitude,longitude,cityid,countyid,zipcpde,rooms,units,airconditiontype,heatsystemtype,buildingquality,pools,amount
11097925,3,3,3,2473,17243,1951,34225998,-118574082,12447,3101,96341,0,1,,7,7,1,382448
11098094,2,3,2,1500,8915,1956,34224227,-118575904,12447,3101,96341,0,1,,2,4,,421772
11098194,2,3,2,1375,7506,1954,34221256,-118576336,12447,3101,96341,0,1,,2,7,,188863
11098800,2,2,2,1404,274089,1979,34223300,-118570000,12447,3101,96341,0,1,1,2,4,1,185655
11098892,2,3,2,1560,10068,1937,34228509,-118569226,12447,3101,96354,0,1,,7,7,,373568
11099015,2,4,2,1908,7563,1958,34227569,-118563785,12447,3101,96341,0,1,,2,4,,258077
11099161,3,3,3,1879,7199,1958,34228497,-118563172,12447,3101,96354,0,1,,2,4,,203626
11099261,2,3,2,1392,7499,1956,34229747,-118566151,12447,3101,96354,0,1,1,2,7,,216355
11099544,2,3,2,1795,9458,1947,34221801,-118554050,12447,3101,96354,0,1,,7,7,,231466
11099644,3,4,3,2415,46393,1945,34222596,-118558513,12447,3101,96354,0,2,,,7,1,582461
11099690,2,3,2,1742,44883,1939,34221871,-118559854,12447,3101,96354,0,1,,7,7,,587668
11099790,2,3,2,2009,8710,1957,34227145,-118559845,12447,3101,96354,0,1,,2,4,1,340786
11099890,3,3,3,1644,8971,1957,34225830,-118556167,12447,3101,96354,0,1,,2,4,,358611
11100544,2,3,2,1568,7570,1956,34224076,-118545766,12447,3101,96354,0,1,,7,7,1,378962
11100667,2,3,2,1221,7596,1956,34222501,-118549688,12447,3101,96354,0,1,,7,7,,206860
11100690,3,3,3,1848,5022,1978,34221003,-118548535,12447,3101,96354,0,1,1,2,4,,458990
11100881,1,3,1,983,5739,1952,34226684,-118538934,12447,3101,96354,0,1,,7,7,,108589
11101103,2,3,2,1267,6469,1961,34225282,-118542863,12447,3101,96354,0,1,,2,7,1,425872
11101636,2,3,2,1816,9480,1965,34223008,-118527919,12447,3101,96355,0,1,1,2,4,1,532000
11101941,3,3,3,1866,17398,1950,34225054,-118525369,12447,3101,96355,0,1,,7,7,,150120
11102746,2,4,2,1420,6049,1964,34434673,-118475693,54311,3101,96374,0,1,,2,7,,225846
11102846,2,3,2,1240,10224,1964,34436710,-118480452,54311,3101,96374,0,1,,2,7,,339825
11102946,2,3,2,1287,6557,1964,34435014,-118482984,54311,3101,96374,0,1,,2,7,,153033
11103069,2,4,2,1374,6010,1962,34434171,-118476034,54311,3101,96374,0,1,,2,7,,215779
11103092,2,3,2,1238,6209,1963,34433597,-118478751,54311,3101,96374,0,1,,2,7,,364000
11103192,3,4,3,2166,6424,1988,34434583,-118490995,54311,3101,96374,0,1,1,2,4,1,359364
11104095,2,4,2,1628,8650,1967,34430655,-118465172,54311,3101,96374,0,1,,2,7,1,282088
11104195,2,4,2,1628,7220,1968,34433466,-118465694,54311,3101,96374,0,1,1,2,7,1,292626
11104364,2,3,2,1270,4656,1984,34434433,-118472733,54311,3101,96374,0,1,1,2,4,,292627
11104553,2,4,2,1144,6502,1961,34423165,-118473597,54311,3101,96374,0,1,,2,7,,187851
11104968,2,4,2,1144,5776,1961,34418194,-118468583,54311,3101,96374,0,1,,2,7,,259293
11105214,2,4,2,1269,7087,1963,34423729,-118461752,54311,3101,96374,0,1,,2,7,1,191812
11105591,2,2,2,795,312806,1987,34421000,-118455000,54311,3101,96374,0,1,1,2,4,1,144990
11106019,2,2,2,1114,843582,1981,34413600,-118467000,54311,3101,96374,0,1,1,2,7,,225000
11106165,3,3,3,2526,37887,1988,34419750,-118459526,54311,3101,96374,0,1,1,2,4,,338016
11106530,1,1,1,635,188585,1984,34413300,-118463000,54311,3101,96374,0,1,1,2,7,1,100418
11107231,2,4,2,1694,7050,1965,34427930,-118476892,54311,3101,96374,0,1,,2,7,,365167
11107500,2,5,2,1809,6102,1965,34424057,-118476109,54311,3101,96374,0,1,,2,7,,265126
11107569,3,4,3,1889,7537,1966,34423179,-118479347,54311,3101,96374,0,1,1,2,7,,274942
11107592,2,4,2,1642,5980,1966,34423157,-118475129,54311,3101,96374,0,1,,2,7,,238205
11107715,2,3,2,1300,6663,1966,34420822,-118476453,54311,3101,96374,0,1,1,2,7,,226723
11107838,2,3,2,1430,7121,1988,34456132,-118531347,54311,3101,96373,0,1,1,2,4,1,330008
11107961,2,3,2,1787,7655,1959,34452658,-118532888,54311,3101,96373,0,1,1,2,7,,254704
11108061,3,4,3,1718,6182,1988,34452307,-118525166,54311,3101,96373,0,1,1,2,4,,469000
11108184,2,3,2,1230,6777,1957,34447119,-118533117,54311,3101,96373,0,1,,2,7,1,275180
11108384,1,2,1,842,13898,1950,34440630,-118532605,54311,3101,96373,0,1,,7,7,,84559
11108430,2,4,2,1260,12044,1973,34440546,-118526099,54311,3101,96373,0,1,1,2,7,1,283218
11108722,2,4,2,1654,15904,1980,34446177,-118529446,54311,3101,96373,0,1,1,2,7,,334944
11108968,3,3,3,1672,8457,1989,34444774,-118519607,54311,3101,96373,0,1,1,2,4,,391909
11109137,3,3,3,2255,11981,1953,34439683,-118530996,54311,3101,96373,0,1,1,2,4,1,371931
11109552,2,3,2,1188,6439,1964,34436558,-118521986,54311,3101,96373,0,1,,2,7,,50742
11110220,2,3,2,1418,7576,1966,34450969,-118504145,54311,3101,96373,0,1,,2,7,,282176
11110343,2,4,2,1604,7376,1966,34451989,-118500851,54311,3101,96373,0,1,,2,7,,157020
11110735,1,2,1,834,125560,1976,34452462,-118496660,54311,3101,96373,0,1,1,2,7,,196000
11110835,1,2,1,834,148023,1977,34450903,-118498391,54311,3101,96373,0,1,1,2,7,,91164
11110965,2,3,2,2014,3614,1975,34439279,-118534265,54311,3101,96377,0,1,1,2,7,,274384
11111065,3,3,3,2032,3743,1975,34440588,-118533776,54311,3101,96377,0,1,1,2,7,,255954
11111357,2,3,2,1319,8653,1978,34437717,-118537972,54311,3101,96377,0,1,1,2,7,,126106
11112415,3,4,3,1788,4742,1996,34448888,-118551623,54311,3101,96377,0,1,1,2,4,,509000
11112538,3,3,3,1260,21251,1995,34449962,-118554519,54311,3101,96377,0,1,1,2,4,,360000
11113058,3,4,3,2288,5117,1996,34451206,-118542237,54311,3101,96377,0,1,1,2,4,1,396301
11113150,4,5,4,2937,5550,1997,34458954,-118543103,54311,3101,96377,0,1,1,2,4,,520265
11113196,4,5,4,2979,5061,1997,34455197,-118541674,54311,3101,96377,0,1,1,2,4,,452373
11118316,2,4,2,1637,9388,1973,34436338,-118535442,54311,3101,96377,0,1,1,2,7,1,223652
11118659,3,3,3,1588,6889,1989,34433601,-118552887,54311,3101,96377,0,1,1,2,4,1,503300
11118759,2,2,2,1445,6959,1992,34436747,-118553671,54311,3101,96377,0,1,1,2,4,,399749
11118859,3,3,3,1928,6848,1989,34433174,-118546430,54311,3101,96377,0,1,1,2,4,1,527672
11118959,3,3,3,1548,5583,1990,34437003,-118546679,54311,3101,96377,0,1,1,2,4,,275109
11119082,2,2,2,1355,7999,1989,34433309,-118550294,54311,3101,96377,0,1,1,2,4,1,383072
11119720,3,4,3,2508,8368,1994,34440699,-118539862,54311,3101,96377,0,1,1,2,4,1,489813
11119843,3,3,3,1714,129992,1996,34431174,-118548865,54311,3101,96377,0,1,1,2,4,,443690
11119943,3,2,3,1106,5903,1995,34429500,-118550000,54311,3101,96377,0,1,1,2,4,,208921
11120143,2,2,2,982,283,1995,34430100,-118549000,54311,3101,96377,0,1,1,2,4,,247441
11121609,2,3,2,1526,6688,1978,34456595,-118499417,54311,3101,96373,0,1,1,2,4,,404000
11121947,3,4,3,2322,19042,1979,34463001,-118491738,,3101,96403,0,1,1,2,4,,424238
11122047,3,4,3,2566,40122,1984,34445258,-118496462,54311,3101,96373,0,1,1,2,4,,383957
11122147,3,4,3,2070,12220,1986,34446074,-118502389,54311,3101,96373,0,1,1,2,4,,489000
11122316,3,4,3,2240,6678,1983,34447151,-118490379,54311,3101,96373,0,1,1,2,4,,384226
11122339,2,3,2,1194,7866,1984,34438183,-118485747,54311,3101,96374,0,1,1,2,4,,216206
11122439,2,3,2,1428,9928,1984,34440165,-118483442,54311,3101,96374,0,1,1,2,4,,335789
11122608,3,4,3,2730,10405,1993,34451461,-118490080,,3101,96373,0,1,1,2,4,,425667
11122731,3,4,3,3023,4948,1989,34460755,-118488058,,3101,96403,0,1,1,2,4,,416506
11122900,3,4,3,2403,5164,1988,34462452,-118486885,,3101,96403,0,1,1,2,4,,302259
11127233,2,1,2,1257,8987,1992,34278669,-118597835,,3101,96346,0,1,,2,4,,216956
11127413,4,4,4,3424,12466,1966,34297102,-118547478,12447,3101,96356,0,1,1,2,4,1,746201
11127513,3,4,3,2366,9513,1966,34297609,-118542288,12447,3101,96356,0,1,1,2,4,,128264
11128217,7,5,7,7274,86881,1996,34281619,-118618706,,3101,96346,0,1,1,2,12,1,2783200
11128812,3,3,3,1598,362718,1980,34274900,-118550000,12447,3101,96356,0,1,1,2,4,1,446000
11128912,3,2,3,1282,314954,1983,34273900,-118550000,12447,3101,96356,0,1,1,2,4,1,348581
11129135,3,5,3,2494,8698,1974,34281919,-118550245,12447,3101,96356,0,1,1,2,4,,147903
11129235,3,4,3,2301,10470,1974,34280352,-118548463,12447,3101,96356,0,1,1,2,4,1,510247
11129335,3,4,3,2301,11327,1975,34279011,-118549527,12447,3101,96356,0,1,1,2,4,1,429197
11129435,2,3,2,1263,5956,1977,34458130,-118534298,54311,3101,96377,0,1,1,2,7,,166254
11129481,3,3,3,1733,7082,1983,34458872,-118535732,54311,3101,96377,0,1,1,2,7,,323682
11129581,2,3,2,1263,9700,1983,34457181,-118538763,54311,3101,96377,0,1,1,2,7,,399000
11129781,2,4,2,1624,6047,1979,34455077,-118536064,54311,3101,96377,0,1,1,2,7,,164407
11129904,2,4,2,1624,6597,1978,34452251,-118539003,54311,3101,96377,0,1,1,2,7,,357108
11130004,2,3,2,1263,5738,1978,34452181,-118535714,54311,3101,96377,0,1,1,2,7,,352720
11130142,2,3,2,1500,7993,1966,34366575,-118554089,54311,3101,96352,0,1,,2,7,,443691
11130365,3,4,3,2288,11249,1979,34365578,-118548068,54311,3101,96352,0,1,1,2,4,,282434
11130464,3,3,3,1278,109001,1979,34377633,-118560458,54311,3101,96352,0,1,1,2,4,,212132
11130487,2,2,2,988,398589,1966,34377309,-118558682,54311,3101,96352,0,1,1,2,7,1,175890
11130587,1,1,1,827,398589,1966,34376457,-118557246,54311,3101,96352,0,1,1,2,7,,178020
11130656,2,3,2,2040,6655,1976,34376238,-118560546,54311,3101,96352,0,1,1,2,7,,226794
11131551,3,4,3,2312,7449,1987,34373852,-118565406,,3101,96395,0,1,1,2,4,,553900
11131574,3,4,3,2312,9795,1987,34371714,-118564840,,3101,96395,0,1,1,2,4,1,244495
11131643,3,4,3,2312,7581,1987,34373099,-118568524,,3101,96395,0,1,1,2,4,1,503099
11131843,2,4,2,1541,5630,1995,34390097,-118586077,,3101,96395,0,,1,2,4,,481000
11131943,2,2,2,1286,183464,1990,34388066,-118580495,,3101,96395,0,1,1,2,4,1,266369
11132535,3,3,3,2370,12488,1989,34385781,-118584521,,3101,96395,0,1,1,2,4,,442840
11132635,3,4,3,2970,5610,1995,34385084,-118588324,,3101,96395,0,1,1,2,4,,477688
11132965,2,2,2,963,103607,1990,34388000,-118577000,,3101,96395,0,1,1,2,4,1,229919
11133065,3,2,3,1769,4523,1990,34387502,-118577585,,3101,96395,0,1,1,2,4,,355516
11133188,2,3,2,1361,5910,1996,34385131,-118578341,,3101,96395,0,1,1,2,4,,255700
11133288,2,2,2,1127,40999,1991,34389500,-118588000,,3101,96395,0,1,1,2,4,,321768
11133557,3,4,3,2686,6813,1996,34391809,-118595059,,3101,96395,0,1,1,2,4,1,424234
11133626,3,4,3,2932,5942,1997,34395031,-118591601,,3101,96395,0,1,1,2,4,1,471897
11133987,3,3,3,2149,8601,1998,34394400,-118586466,,3101,96395,0,1,1,2,4,,343153
11134282,3,4,3,3095,13000,1997,34376437,-118571627,,3101,96395,0,1,1,20,4,,705800
11134597,3,4,3,2262,11489,1999,34384521,-118594110,,3101,96395,0,1,1,2,4,,383385
11137387,3,4,3,3699,108010,1964,34367907,-118531201,54311,3101,96352,0,1,,20,4,1,1208347
11137433,2,3,2,1600,9763,1961,34370672,-118532185,54311,3101,96352,0,1,,2,7,,557380
11137479,3,4,3,1929,12072,1958,34369651,-118534454,54311,3101,96352,0,1,,2,4,1,496422
11137899,4,3,4,3140,6731,1984,34359313,-118540192,54311,3101,96352,0,1,1,2,4,1,574574
11137922,3,4,3,2930,15781,1984,34359833,-118540056,54311,3101,96352,0,1,1,2,4,,452538
11137945,3,4,3,3059,11042,1987,34364708,-118543351,54311,3101,96352,0,1,1,2,4,1,618000
11137968,5,4,5,3757,8044,1987,34365099,-118543328,54311,3101,96352,0,1,1,2,4,,606769
11139026,3,4,3,3409,9239,1989,34376523,-118543667,54311,3101,96352,0,1,1,2,4,,382273
11139217,3,3,3,2540,12592,1960,34373319,-118534610,54311,3101,96352,0,1,,2,7,,394535
11139469,2,2,2,1606,8522,1976,34372976,-118541841,54311,3101,96352,0,1,1,2,4,,316323
11139891,2,3,2,2816,19525,1934,34371285,-118534727,54311,3101,96352,0,1,1,2,4,1,472570
11140216,2,4,2,1716,4687,1998,34378747,-118523434,54311,3101,96352,0,1,,,4,,124248
