,zpid,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount,cityid,countryid,zipcpde,units,airconditiontype,heatsystemtype,buildingquality,pools
0,11097925,3.0,3,3.0,2473.0,17243.0,34225998,-118574082,1951.0,382448.0,12447.0,3101,96341.0,1.0,0.0,7.0,7.0,1.0
1,11098094,2.0,3,2.0,1500.0,8915.0,34224227,-118575904,1956.0,421772.0,12447.0,3101,96341.0,1.0,0.0,2.0,4.0,0.0
2,11098194,2.0,3,2.0,1375.0,7506.0,34221256,-118576336,1954.0,188863.0,12447.0,3101,96341.0,1.0,0.0,2.0,7.0,0.0
3,11098800,2.0,2,2.0,1404.0,274089.0,34223300,-118570000,1979.0,185655.0,12447.0,3101,96341.0,1.0,1.0,2.0,4.0,1.0
4,11098892,2.0,3,2.0,1560.0,10068.0,34228509,-118569226,1937.0,373568.0,12447.0,3101,96354.0,1.0,0.0,7.0,7.0,0.0
5,11099015,2.0,4,2.0,1908.0,7563.0,34227569,-118563785,1958.0,258077.0,12447.0,3101,96341.0,1.0,0.0,2.0,4.0,0.0
6,11099161,3.0,3,3.0,1879.0,7199.0,34228497,-118563172,1958.0,203626.0,12447.0,3101,96354.0,1.0,0.0,2.0,4.0,0.0
7,11099261,2.0,3,2.0,1392.0,7499.0,34229747,-118566151,1956.0,216355.0,12447.0,3101,96354.0,1.0,1.0,2.0,7.0,0.0
8,11099544,2.0,3,2.0,1795.0,9458.0,34221801,-118554050,1947.0,231466.0,12447.0,3101,96354.0,1.0,0.0,7.0,7.0,0.0
9,11099644,3.0,4,3.0,2415.0,46393.0,34222596,-118558513,1945.0,582461.0,12447.0,3101,96354.0,2.0,0.0,2.0,7.0,1.0
10,11099690,2.0,3,2.0,1742.0,44883.0,34221871,-118559854,1939.0,587668.0,12447.0,3101,96354.0,1.0,0.0,7.0,7.0,0.0
