,area_id,area_type,year,percent_associates_degree,percent_bachelors_degree_or_higher,percent_graduate_or_professional_degree,percent_high_school_graduate_or_higher,percent_less_than_9th_grade,City,State
138,1600000US0261788,region.place,2013,9.4,10.7,0.0,74.4,5.5,Point MacKenzie,AK
254,1600000US0252915,region.place,2013,0.0,0.0,0.0,100.0,0.0,Nelchina,AK
260,1600000US0243040,region.place,2013,0.0,3.7,0.0,87.0,9.3,Larsen Bay,AK
271,1600000US0278350,region.place,2013,0.0,0.0,0.0,100.0,0.0,Tonsina,AK
273,1600000US0245295,region.place,2013,0.0,0.0,0.0,100.0,0.0,Lowell Point,AK
282,1600000US0213780,region.place,2013,0.0,8.3,5.6,77.8,8.3,Chignik Lake,AK
287,1600000US0284200,region.place,2013,0.0,0.0,0.0,72.7,27.3,Whitestone Logging Camp,AK
289,1600000US0285290,region.place,2013,0.0,0.0,0.0,100.0,0.0,Willow Creek,AK
292,1600000US0261190,region.place,2013,0.0,0.0,0.0,100.0,0.0,Point Baker,AK
298,1600000US0263170,region.place,2013,0.0,0.0,0.0,100.0,0.0,Port Clarence,AK
302,1600000US0284000,region.place,2013,0.0,0.0,0.0,100.0,0.0,Whale Pass,AK
311,1600000US0226835,region.place,2013,0.0,0.0,0.0,81.8,18.2,Four Mile Road,AK
314,1600000US0201390,region.place,2013,0.0,0.0,0.0,100.0,0.0,Alcan Border,AK
316,1600000US0270870,region.place,2013,0.0,0.0,0.0,100.0,0.0,Skwentna,AK
324,1600000US0220970,region.place,2013,0.0,0.0,0.0,100.0,0.0,Edna Bay,AK
327,1600000US0245700,region.place,2013,0.0,0.0,0.0,100.0,0.0,Lutak,AK
331,1600000US0212350,region.place,2013,0.0,0.0,0.0,100.0,0.0,Chase,AK
332,1600000US0204670,region.place,2013,0.0,0.0,0.0,100.0,0.0,Attu Station,AK
338,1600000US0201305,region.place,2013,0.0,0.0,0.0,100.0,0.0,Alatna,AK
880,1600000US0153112,region.place,2013,7.2,8.1,1.8,79.3,3.6,Myrtlewood,AL
917,1600000US0181744,region.place,2013,0.0,0.0,0.0,100.0,0.0,Whatley,AL
926,1600000US0146192,region.place,2013,0.0,0.0,0.0,77.3,22.7,Malcolm,AL
932,1600000US0100100,region.place,2013,0.0,0.0,0.0,100.0,0.0,Abanda,AL
1124,1600000US0553600,region.place,2013,3.3,8.5,1.4,72.7,14.1,Parkin,AR
1386,1600000US0552160,region.place,2013,1.7,7.6,0.0,90.7,0.0,Omaha,AR
1391,1600000US0570760,region.place,2013,3.9,7.9,0.0,85.8,2.4,Ulm,AR
1447,1600000US0513420,region.place,2013,0.0,0.0,0.0,100.0,0.0,Cherokee City,AR
1454,1600000US0561730,region.place,2013,0.0,0.0,0.0,100.0,0.0,Rye,AR
1461,1600000US0544810,region.place,2013,0.0,0.0,0.0,100.0,0.0,Maysville,AR
1673,1600000US0448310,region.place,2013,0.9,9.3,7.0,65.3,17.5,Naco,AZ
1708,1600000US0414030,region.place,2013,0.0,0.0,0.0,91.5,8.5,Clay Springs,AZ
1777,1600000US0484140,region.place,2013,0.0,0.0,0.0,94.5,5.5,Wittmann,AZ
1804,1600000US0418160,region.place,2013,3.6,4.1,0.0,63.9,28.4,Dateland,AZ
1810,1600000US0481490,region.place,2013,0.0,0.0,0.0,100.0,0.0,Wellton Hills,AZ
1818,1600000US0463610,region.place,2013,0.0,0.0,0.0,88.8,11.2,San Miguel,AZ
1872,1600000US0401570,region.place,2013,0.0,0.0,0.0,44.4,55.6,Ali Chukson,AZ
1882,1600000US0468670,region.place,2013,0.0,0.0,0.0,100.0,0.0,South Komelik,AZ
1892,1600000US0450340,region.place,2013,0.0,0.0,0.0,100.0,0.0,Nutrioso,AZ
1893,1600000US0478680,region.place,2013,0.0,0.0,0.0,63.6,36.4,Vaiva Vo,AZ
1894,1600000US0416830,region.place,2013,0.0,0.0,0.0,100.0,0.0,Cowlic,AZ
1902,1600000US0412150,region.place,2013,0.0,0.0,0.0,81.8,18.2,Charco,AZ
1903,1600000US0415600,region.place,2013,0.0,0.0,0.0,100.0,0.0,Copper Hill,AZ
1904,1600000US0438530,region.place,2013,0.0,0.0,0.0,0.0,100.0,Kohatk,AZ
1908,1600000US0417460,region.place,2013,0.0,0.0,0.0,100.0,0.0,Crozier,AZ
1911,1600000US0423955,region.place,2013,0.0,0.0,0.0,100.0,0.0,Flowing Springs,AZ
1912,1600000US0430840,region.place,2013,0.0,0.0,0.0,100.0,0.0,Haigler Creek,AZ
1913,1600000US0460770,region.place,2013,0.0,0.0,0.0,100.0,0.0,Rock House,AZ
1915,1600000US0474540,region.place,2013,0.0,0.0,0.0,100.0,0.0,Tonopah,AZ
1916,1600000US0471220,region.place,2013,0.0,0.0,0.0,100.0,0.0,Sunwest,AZ
1917,1600000US0404930,region.place,2013,0.0,0.0,0.0,100.0,0.0,Aztec,AZ
2352,1600000US0642006,region.place,2013,4.3,8.0,3.0,50.4,34.3,Livingston,CA
3221,1600000US0857850,region.place,2013,0.0,0.0,0.0,82.0,18.0,Parshall,CO
3227,1600000US0858675,region.place,2013,0.0,0.0,0.0,100.0,0.0,Peyton,CO
3256,1600000US0811975,region.place,2013,0.0,0.0,0.0,69.4,30.6,Capulin,CO
3264,1600000US0801640,region.place,2013,0.0,0.0,0.0,100.0,0.0,Alpine,CO
3270,1600000US0844695,region.place,2013,0.0,0.0,0.0,100.0,0.0,Leyner,CO
