zpid,cityid,counties,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount,zipcode,units,airconditiontype,heatsystemtype,buildingquality,pools,Earning
11097925,Los Angeles,Los Angeles,3,3,3,2473,17243,34.225998,-118.574082,1951,382448,91306,1,0,7,7,1,52024
11098094,Los Angeles,Los Angeles,2,3,2,1500,8915,34.224227,-118.575904,1956,421772,91306,1,0,2,4,0,52024
11098194,Los Angeles,Los Angeles,2,3,2,1375,7506,34.221256,-118.576336,1954,188863,91306,1,0,2,7,0,52024
11098800,Los Angeles,Los Angeles,2,2,2,1404,274089,34.2233,-118.57,1979,185655,91306,1,1,2,4,1,52024
11098892,Los Angeles,Los Angeles,2,3,2,1560,10068,34.228509,-118.569226,1937,373568,91324,1,0,7,7,0,52024
11099015,Los Angeles,Los Angeles,2,4,2,1908,7563,34.227569,-118.563785,1958,258077,91306,1,0,2,4,0,52024
11099161,Los Angeles,Los Angeles,3,3,3,1879,7199,34.228497,-118.563172,1958,203626,91324,1,0,2,4,0,52024
11099261,Los Angeles,Los Angeles,2,3,2,1392,7499,34.229747,-118.566151,1956,216355,91324,1,1,2,7,0,52024
11099544,Los Angeles,Los Angeles,2,3,2,1795,9458,34.221801,-118.55405,1947,231466,91324,1,0,7,7,0,52024
11099644,Los Angeles,Los Angeles,3,4,3,2415,46393,34.222596,-118.558513,1945,582461,91324,2,0,2,7,1,52024
11099690,Los Angeles,Los Angeles,2,3,2,1742,44883,34.221871,-118.559854,1939,587668,91324,1,0,7,7,0,52024
11099790,Los Angeles,Los Angeles,2,3,2,2009,8710,34.227145,-118.559845,1957,340786,91324,1,0,2,4,1,52024
11099890,Los Angeles,Los Angeles,3,3,3,1644,8971,34.22583,-118.556167,1957,358611,91324,1,0,2,4,0,52024
11100544,Los Angeles,Los Angeles,2,3,2,1568,7570,34.224076,-118.545766,1956,378962,91324,1,0,7,7,1,52024
11100667,Los Angeles,Los Angeles,2,3,2,1221,7596,34.222501,-118.549688,1956,206860,91324,1,0,7,7,0,52024
11100690,Los Angeles,Los Angeles,3,3,3,1848,5022,34.221003,-118.548535,1978,458990,91324,1,1,2,4,0,52024
11100881,Los Angeles,Los Angeles,1,3,1,983,5739,34.226684,-118.538934,1952,108589,91324,1,0,7,7,0,52024
11101103,Los Angeles,Los Angeles,2,3,2,1267,6469,34.225282,-118.542863,1961,425872,91324,1,0,2,7,1,52024
11101636,Los Angeles,Los Angeles,2,3,2,1816,9480,34.223008,-118.527919,1965,532000,91325,1,1,2,4,1,52024
11101941,Los Angeles,Los Angeles,3,3,3,1866,17398,34.225054,-118.525369,1950,150120,91325,1,0,7,7,0,52024
