zpid,cityid,counties,bathrooms,bedrooms,fullbathrooms,finishedSqFt,lotsizeSqFt,latitude,longitude,yearbuilt,amount,zipcode,units,airconditiontype,heatsystemtype,buildingquality,pools,Earning,neighborhood_avg_amount
11097925,Los Angeles,Los Angeles,3,3,3,2473,17243,34.225998,-118.574082,1951,382448,91306,1,0,7,7,1,52024,305349.7272727273
11098094,Los Angeles,Los Angeles,2,3,2,1500,8915,34.224227,-118.57590400000001,1956,421772,91306,1,0,2,4,0,52024,308929.6666666667
11098194,Los Angeles,Los Angeles,2,3,2,1375,7506,34.221256,-118.57633600000001,1954,188863,91306,1,0,2,7,0,52024,264155.8888888889
11098800,Los Angeles,Los Angeles,2,2,2,1404,274089,34.2233,-118.57,1979,185655,91306,1,1,2,4,1,52024,293387.75
11098892,Los Angeles,Los Angeles,2,3,2,1560,10068,34.228509,-118.569226,1937,373568,91324,1,0,7,7,0,52024,323022.2
11099015,Los Angeles,Los Angeles,2,4,2,1908,7563,34.227569,-118.56378500000001,1958,258077,91306,1,0,2,4,0,52024,277232.3
11099161,Los Angeles,Los Angeles,3,3,3,1879,7199,34.228497,-118.563172,1958,203626,91324,1,0,2,4,0,52024,263061.2727272727
11099261,Los Angeles,Los Angeles,2,3,2,1392,7499,34.229746999999996,-118.566151,1956,216355,91324,1,1,2,7,0,52024,283587.9090909091
11099544,Los Angeles,Los Angeles,2,3,2,1795,9458,34.221801,-118.55405,1947,231466,91324,1,0,7,7,0,52024,348730.4
11099644,Los Angeles,Los Angeles,3,4,3,2415,46393,34.222596,-118.55851299999999,1945,582461,91324,2,0,2,7,1,52024,352112.5833333333
11099690,Los Angeles,Los Angeles,2,3,2,1742,44883,34.221871,-118.559854,1939,587668,91324,1,0,7,7,0,52024,353921.25
11099790,Los Angeles,Los Angeles,2,3,2,2009,8710,34.227145,-118.559845,1957,340786,91324,1,0,2,4,1,52024,275013.3
11099890,Los Angeles,Los Angeles,3,3,3,1644,8971,34.22583,-118.55616699999999,1957,358611,91324,1,0,2,4,0,52024,351282.54545454547
11100544,Los Angeles,Los Angeles,2,3,2,1568,7570,34.224076000000004,-118.54576599999999,1956,378962,91324,1,0,7,7,1,52024,341618.1
11100667,Los Angeles,Los Angeles,2,3,2,1221,7596,34.222501,-118.54968799999999,1956,206860,91324,1,0,7,7,0,52024,336692.0909090909
11100690,Los Angeles,Los Angeles,3,3,3,1848,5022,34.221003,-118.54853500000002,1978,458990,91324,1,1,2,4,0,52024,308240.71428571426
11100881,Los Angeles,Los Angeles,1,3,1,983,5739,34.226684000000006,-118.53893400000001,1952,108589,91324,1,0,7,7,0,52024,331675.4
11101103,Los Angeles,Los Angeles,2,3,2,1267,6469,34.225282,-118.54286299999998,1961,425872,91324,1,0,2,7,1,52024,322151.14285714284
11101636,Los Angeles,Los Angeles,2,3,2,1816,9480,34.223008,-118.527919,1965,532000,91325,1,1,2,4,1,52024,303029.0
11101941,Los Angeles,Los Angeles,3,3,3,1866,17398,34.225054,-118.525369,1950,150120,91325,1,0,7,7,0,52024,319571.6666666667
11102746,Santa Clarita,Los Angeles,2,4,2,1420,6049,34.434673,-118.47569299999999,1964,225846,91351,1,0,2,7,0,83554,293066.1
11102846,Santa Clarita,Los Angeles,2,3,2,1240,10224,34.43671,-118.480452,1964,339825,91351,1,0,2,7,0,83554,282556.0
11102946,Santa Clarita,Los Angeles,2,3,2,1287,6557,34.435014,-118.482984,1964,153033,91351,1,0,2,7,0,83554,252476.66666666666
11103069,Santa Clarita,Los Angeles,2,4,2,1374,6010,34.434171,-118.47603400000001,1962,215779,91351,1,0,2,7,0,83554,293066.1
11103092,Santa Clarita,Los Angeles,2,3,2,1238,6209,34.433597,-118.478751,1963,364000,91351,1,0,2,7,0,83554,282436.5
11103192,Santa Clarita,Los Angeles,3,4,3,2166,6424,34.434583,-118.490995,1988,359364,91351,1,1,2,4,1,83554,346894.0
11104095,Santa Clarita,Los Angeles,2,4,2,1628,8650,34.430655,-118.465172,1967,282088,91351,1,0,2,7,1,83554,269004.4
11104195,Santa Clarita,Los Angeles,2,4,2,1628,7220,34.433465999999996,-118.465694,1968,292626,91351,1,1,2,7,1,83554,379438.2
11104364,Santa Clarita,Los Angeles,2,3,2,1270,4656,34.434433,-118.472733,1984,292627,91351,1,1,2,4,0,83554,259601.0
11104553,Santa Clarita,Los Angeles,2,4,2,1144,6502,34.423165000000004,-118.473597,1961,187851,91351,1,0,2,7,0,83554,217933.8
11104968,Santa Clarita,Los Angeles,2,4,2,1144,5776,34.418194,-118.46858300000001,1961,259293,91351,1,0,2,7,0,83554,186104.22222222222
11105214,Santa Clarita,Los Angeles,2,4,2,1269,7087,34.423728999999994,-118.461752,1963,191812,91351,1,0,2,7,1,83554,291765.44444444444
11105591,Santa Clarita,Los Angeles,2,2,2,795,312806,34.421,-118.455,1987,144990,91351,1,1,2,4,1,83554,174974.0
11106019,Santa Clarita,Los Angeles,2,2,2,1114,843582,34.4136,-118.46700000000001,1981,225000,91351,1,1,2,7,0,83554,191289.14285714287
11106165,Santa Clarita,Los Angeles,3,3,3,2526,37887,34.41975,-118.459526,1988,338016,91351,1,1,2,4,0,83554,245534.6
11106530,Santa Clarita,Los Angeles,1,1,1,635,188585,34.4133,-118.463,1984,100418,91351,1,1,2,7,1,83554,190411.14285714287
11107231,Santa Clarita,Los Angeles,2,4,2,1694,7050,34.427929999999996,-118.47689199999999,1965,365167,91351,1,0,2,7,0,83554,217658.0
11107500,Santa Clarita,Los Angeles,2,5,2,1809,6102,34.424057,-118.47610900000001,1965,265126,91351,1,0,2,7,0,83554,224549.84615384616
11107569,Santa Clarita,Los Angeles,3,4,3,1889,7537,34.423179,-118.479347,1966,274942,91351,1,1,2,7,0,83554,208523.27272727274
11107592,Santa Clarita,Los Angeles,2,4,2,1642,5980,34.423157,-118.47512900000001,1966,238205,91351,1,0,2,7,0,83554,212831.75
11107715,Santa Clarita,Los Angeles,2,3,2,1300,6663,34.420821999999994,-118.476453,1966,226723,91351,1,1,2,7,0,83554,244584.11111111112
11107838,Santa Clarita,Los Angeles,2,3,2,1430,7121,34.456132000000004,-118.531347,1988,330008,91350,1,1,2,4,1,83554,286460.25
11107961,Santa Clarita,Los Angeles,2,3,2,1787,7655,34.452658,-118.53288799999999,1959,254704,91350,1,1,2,7,0,83554,287866.76923076925
11108061,Santa Clarita,Los Angeles,3,4,3,1718,6182,34.452307,-118.525166,1988,469000,91350,1,1,2,4,0,83554,352832.8333333333
11108184,Santa Clarita,Los Angeles,2,3,2,1230,6777,34.447119,-118.53311699999999,1957,275180,91350,1,0,2,7,1,83554,302382.3333333333
11108384,Santa Clarita,Los Angeles,1,2,1,842,13898,34.44063,-118.532605,1950,84559,91350,1,0,7,7,0,83554,312258.5
11108430,Santa Clarita,Los Angeles,2,4,2,1260,12044,34.440546000000005,-118.526099,1973,283218,91350,1,1,2,7,1,83554,279129.28571428574
11108722,Santa Clarita,Los Angeles,2,4,2,1654,15904,34.446177,-118.529446,1980,334944,91350,1,1,2,7,0,83554,278913.6666666667
11108968,Santa Clarita,Los Angeles,3,3,3,1672,8457,34.444774,-118.51960700000001,1989,391909,91350,1,1,2,4,0,83554,348116.9090909091
11109137,Santa Clarita,Los Angeles,3,3,3,2255,11981,34.439683,-118.530996,1953,371931,91350,1,1,2,4,1,83554,291415.0
11109552,Santa Clarita,Los Angeles,2,3,2,1188,6439,34.436558000000005,-118.52198600000001,1964,50742,91350,1,0,2,7,0,83554,256340.2
11110220,Santa Clarita,Los Angeles,2,3,2,1418,7576,34.450969,-118.504145,1966,282176,91350,1,0,2,7,0,83554,220147.2857142857
11110343,Santa Clarita,Los Angeles,2,4,2,1604,7376,34.451989000000005,-118.500851,1966,157020,91350,1,0,2,7,0,83554,225599.57142857142
11110735,Santa Clarita,Los Angeles,1,2,1,834,125560,34.452462,-118.49666,1976,196000,91350,1,1,2,7,0,83554,246666.66666666666
11110835,Santa Clarita,Los Angeles,1,2,1,834,148023,34.450903000000004,-118.498391,1977,91164,91350,1,1,2,7,0,83554,207139.72727272726
11110965,Santa Clarita,Los Angeles,2,3,2,2014,3614,34.439279,-118.53426499999999,1975,274384,91354,1,1,2,7,0,83554,266091.77777777775
11111065,Santa Clarita,Los Angeles,3,3,3,2032,3743,34.440588,-118.533776,1975,255954,91354,1,1,2,7,0,83554,283590.0
11111357,Santa Clarita,Los Angeles,2,3,2,1319,8653,34.437717,-118.537972,1978,126106,91354,1,1,2,7,0,83554,302031.4
11112415,Santa Clarita,Los Angeles,3,4,3,1788,4742,34.448888000000004,-118.55162299999999,1996,509000,91354,1,1,2,4,0,83554,417839.375
11112538,Santa Clarita,Los Angeles,3,3,3,1260,21251,34.449962,-118.554519,1995,360000,91354,1,1,2,4,0,83554,402400.8
11113058,Santa Clarita,Los Angeles,3,4,3,2288,5117,34.451206,-118.54223700000001,1996,396301,91354,1,1,2,4,1,83554,380477.875
11113150,Santa Clarita,Los Angeles,4,5,4,2937,5550,34.458954,-118.543103,1997,520265,91354,1,1,2,4,0,83554,436251.1111111111
11113196,Santa Clarita,Los Angeles,4,5,4,2979,5061,34.455197,-118.541674,1997,452373,91354,1,1,2,4,0,83554,423186.35714285716
11118316,Santa Clarita,Los Angeles,2,4,2,1637,9388,34.436338,-118.53544199999999,1973,223652,91354,1,1,2,7,1,83554,287718.4
11118659,Santa Clarita,Los Angeles,3,3,3,1588,6889,34.433601,-118.55288700000001,1989,503300,91354,1,1,2,4,1,83554,415056.7
11118759,Santa Clarita,Los Angeles,2,2,2,1445,6959,34.436747,-118.553671,1992,399749,91354,1,1,2,4,0,83554,388515.1111111111
